RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,PK3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device or Header,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Stack Snapshot,Runtime BPs,SW BPs,PTG Support,App IO,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,Instruction Trace,PC Profiling,PC Sampling,FLP,Jump Trace
PIC24FJ256DA210,5,6:RI-5:ICD3-5:PK3-,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA106,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA108,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA110,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA406,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA410,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA412,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA606,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA610,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA702,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA704,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GA705,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB106,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB108,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB110,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB206,5,6:RI-5:ICD3-5:PK3-,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB210,5,6:RI-5:ICD3-5:PK3-,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB406,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB410,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB412,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB606,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GB610,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GL405,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GL406,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GL408,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GL410,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GU405,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GU406,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GU408,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ256GU410,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32GA002,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32GA002 using AC162088,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32GA004,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32GA004 using AC162094,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32GA102,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32GA104,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32GB002,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32GB004,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32MC101,3,6,R/W,3,3S / 6BPS,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32MC102,3,6,R/W,3,3S / 6BPS,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ32MC104,3,6,R/W,3,3S / 6BPS,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ48GA002,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ48GA002 using AC162088,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ48GA004,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ48GA004 using AC162094,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GA606,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GA610,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GB606,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GB610,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GL405,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GL406,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GL408,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GL410,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GU405,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GU406,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GU408,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ512GU410,6,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,No,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA002,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA002 using AC162088,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA004,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA004 using AC162094,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA006,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA006 using AC162065,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA006 using AC244022,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA008,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA008 using AC162065,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA008 using AC244022,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA010,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA010 using AC162065,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA010 using AC244022,4,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA102,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA104,5,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA106,3,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA108,3,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA110,3,6,R/W,3:RI-3:ICD3-0:PK3-,3S / 6BPS:RI-3S / 6BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
PIC24FJ64GA202,5,6:RI-5:ICD3-5:PK3-,R/W,3:RI-3:ICD3-0:PK3-,3S / 5BPS:RI-3S / 5BPS:ICD3-No:PK3-,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,N/A,Yes,Yes,Yes,N/A,6,6,Yes,Yes,Yes,No,No,Yes,Yes,No
