RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,PK3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device or Header,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Stack Snapshot,Runtime BPs,SW BPs,PTG Support,App IO,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,Instruction Trace,PC Profiling,PC Sampling,FLP,Jump Trace
PIC12LF1501 using AC244052,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC12LF1571,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1572,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1612,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1612 using AC244066,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1822,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,No,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1822 using AC244044,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1822 using AC244063,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1840,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,No,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1840 using AC244044,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1840 using AC244063,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1840T39A,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,No,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12LF1840T48A,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,No,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC16F1454,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1454 using AC244053,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
PIC16F1455,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,3,3,Yes,No,No,No,No,No,Yes,No
