ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5
Device,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Runtime BPs,SW BPs,Live Connect,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,ITM/SWO,PIC32 Instruction Trace,PC Profiling,PC Sampling
ATSAMA5D27,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMA5D27CD1G,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMA5D27CD5M,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMA5D27CLD1G,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMA5D27CLD2G,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMA5D28,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMA5D28CD1G,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMA5D28CLD1G,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMA5D28CLD2G,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20E15A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20E16A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20E17A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20E18A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20G15A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20G16A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20G17A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMC20G18A,4,2,R/W/Either,0,No,N/A,No,0,No,No,Yes,No,No,N/A,No,Yes,Yes:ICE4-Yes:ICD5-No:ICD4-Yes:PK5-Yes:PK4-Yes:Snap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
